date=2026-02-10 time=08:01:01 devname=FGT01 src=10.0.0.15 dst=52.95.110.1 srcport=44321 dstport=443 proto=6 action=accept bytes=5021
date=2026-02-10 time=08:02:01 devname=FGT01 src=10.0.0.15 dst=185.199.110.50 srcport=4444 dstport=4444 proto=6 action=accept bytes=2500000
date=2026-02-10 time=08:03:01 devname=FGT01 src=10.0.0.15 dst=185.199.110.50 srcport=4445 dstport=4444 proto=6 action=accept bytes=3000000
date=2026-02-10 time=08:04:01 devname=FGT01 src=10.0.0.20 dst=203.0.113.99 srcport=60000 dstport=8080 proto=6 action=accept bytes=1500000
date=2026-02-10 time=08:05:01 devname=FGT01 src=10.0.0.30 dst=198.51.100.10 srcport=52000 dstport=22 proto=6 action=deny bytes=500
date=2026-02-10 time=08:05:10 devname=FGT01 src=10.0.0.30 dst=198.51.100.10 srcport=52001 dstport=22 proto=6 action=deny bytes=480
date=2026-02-10 time=08:05:20 devname=FGT01 src=10.0.0.30 dst=198.51.100.10 srcport=52002 dstport=22 proto=6 action=deny bytes=510
date=2026-02-10 time=08:05:30 devname=FGT01 src=10.0.0.30 dst=198.51.100.10 srcport=52003 dstport=22 proto=6 action=accept bytes=800
date=2026-02-10 time=08:06:01 devname=FGT01 src=10.0.0.40 dst=192.168.1.10 srcport=40000 dstport=445 proto=6 action=accept bytes=10000
date=2026-02-10 time=08:06:10 devname=FGT01 src=10.0.0.40 dst=192.168.1.11 srcport=40001 dstport=445 proto=6 action=accept bytes=12000
date=2026-02-10 time=08:07:01 devname=FGT01 src=10.0.0.50 dst=185.199.110.100 srcport=50000 dstport=9001 proto=6 action=accept bytes=8000000
date=2026-02-10 time=08:07:30 devname=FGT01 src=10.0.0.50 dst=185.199.110.100 srcport=50001 dstport=9001 proto=6 action=accept bytes=12000000
date=2026-02-10 time=08:08:01 devname=FGT01 src=10.0.0.60 dst=8.8.8.8 srcport=53000 dstport=53 proto=17 action=accept bytes=300
date=2026-02-10 time=08:08:05 devname=FGT01 src=10.0.0.60 dst=1.1.1.1 srcport=53001 dstport=53 proto=17 action=accept bytes=320
date=2026-02-10 time=08:08:10 devname=FGT01 src=10.0.0.60 dst=9.9.9.9 srcport=53002 dstport=53 proto=17 action=accept bytes=290
date=2026-02-10 time=08:09:01 devname=FGT01 src=10.0.0.70 dst=203.0.113.200 srcport=55000 dstport=3389 proto=6 action=accept bytes=20000
date=2026-02-10 time=08:09:30 devname=FGT01 src=10.0.0.70 dst=203.0.113.200 srcport=55001 dstport=3389 proto=6 action=accept bytes=22000
date=2026-02-10 time=08:10:01 devname=FGT01 src=10.0.0.80 dst=192.168.1.15 srcport=56000 dstport=445 proto=6 action=accept bytes=9000
date=2026-02-10 time=08:10:10 devname=FGT01 src=10.0.0.80 dst=192.168.1.16 srcport=56001 dstport=445 proto=6 action=accept bytes=9500
date=2026-02-10 time=08:11:01 devname=FGT01 src=10.0.0.90 dst=185.199.110.250 srcport=57000 dstport=1337 proto=6 action=accept bytes=4000000
date=2026-02-10 time=08:11:30 devname=FGT01 src=10.0.0.90 dst=185.199.110.250 srcport=57001 dstport=1337 proto=6 action=accept bytes=4200000
date=2026-02-10 time=08:12:01 devname=FGT01 src=10.0.0.100 dst=198.51.100.200 srcport=58000 dstport=21 proto=6 action=deny bytes=450
date=2026-02-10 time=08:12:05 devname=FGT01 src=10.0.0.100 dst=198.51.100.200 srcport=58001 dstport=21 proto=6 action=deny bytes=470
date=2026-02-10 time=08:12:10 devname=FGT01 src=10.0.0.100 dst=198.51.100.200 srcport=58002 dstport=21 proto=6 action=deny bytes=460
date=2026-02-10 time=08:13:01 devname=FGT01 src=10.0.0.15 dst=185.199.110.50 srcport=4446 dstport=4444 proto=6 action=accept bytes=2800000
date=2026-02-10 time=08:14:01 devname=FGT01 src=10.0.0.110 dst=203.0.113.10 srcport=59000 dstport=80 proto=6 action=accept bytes=200
date=2026-02-10 time=08:14:02 devname=FGT01 src=10.0.0.110 dst=203.0.113.10 srcport=59001 dstport=81 proto=6 action=accept bytes=210
date=2026-02-10 time=08:14:03 devname=FGT01 src=10.0.0.110 dst=203.0.113.10 srcport=59002 dstport=82 proto=6 action=accept bytes=190
date=2026-02-10 time=08:14:04 devname=FGT01 src=10.0.0.110 dst=203.0.113.10 srcport=59003 dstport=83 proto=6 action=accept bytes=205
date=2026-02-10 time=08:15:01 devname=FGT01 src=10.0.0.50 dst=185.199.110.100 srcport=50002 dstport=9001 proto=6 action=accept bytes=15000000
date=2026-02-10 time=08:16:01 devname=FGT01 src=10.0.0.120 dst=198.51.100.77 srcport=60000 dstport=25 proto=6 action=accept bytes=350000
date=2026-02-10 time=08:16:10 devname=FGT01 src=10.0.0.120 dst=198.51.100.77 srcport=60001 dstport=25 proto=6 action=accept bytes=370000
date=2026-02-10 time=08:17:01 devname=FGT01 src=10.0.0.130 dst=203.0.113.150 srcport=61000 dstport=6667 proto=6 action=accept bytes=500000
date=2026-02-10 time=08:17:30 devname=FGT01 src=10.0.0.130 dst=203.0.113.150 srcport=61001 dstport=6667 proto=6 action=accept bytes=520000
date=2026-02-10 time=08:18:01 devname=FGT01 src=10.0.0.30 dst=198.51.100.10 srcport=52004 dstport=22 proto=6 action=accept bytes=1000
